source_id,x,y,ra,dec,sersic_n,gini,m20,concentration,asymmetry,is_disk,flag,flag_sersic
1,742.62,611.05,214.902438,52.901342,3.95,0.6197,-1.9614,3.658,0.0252,False,0,1
2,344.57,798.24,214.899121,52.902902,1.402,0.49,-1.5583,2.486,0.0628,True,0,0
3,717.35,557.44,214.902228,52.900895,2.262,0.5629,-1.8327,4.003,0.1595,True,0,0
4,422.84,77.74,214.899774,52.896898,3.327,0.6152,-2.3,3.88,0.0364,False,0,0
5,425.16,196.61,214.899793,52.897888,1.212,0.4135,-1.3565,2.666,0.0459,True,0,0
6,613.42,296.89,214.901362,52.898724,1.711,0.4414,-1.4942,2.996,0.0871,True,0,0
7,205.13,48.01,214.897959,52.89665,3.035,0.5534,-2.3304,3.636,0.0881,False,0,0
8,156.07,135.46,214.897551,52.897379,1.376,0.4407,-1.1258,2.587,0.0408,True,0,0
9,498.31,290.02,214.900403,52.898667,4.214,0.6392,-2.3932,4.592,0.1552,False,0,0
10,89.58,271.61,214.896996,52.898513,3.6,0.5638,-2.1327,4.093,0.0,False,0,0
11,706.24,178.25,214.902135,52.897735,2.773,0.5586,-2.2191,3.954,0.1361,False,0,0
12,166.29,610.2,214.897636,52.901335,1.109,0.3973,-1.6703,2.563,0.0811,True,0,0
13,138.29,826.91,214.897402,52.903141,0.741,0.4106,-1.9528,2.679,0.1533,True,0,0
14,408.68,264.15,214.899656,52.898451,4.121,0.6717,-2.4081,4.6,0.128,False,1,0
15,186.25,741.0,214.897802,52.902425,1.082,0.4138,-1.3183,2.987,0.107,True,0,0
16,110.91,381.3,214.897174,52.899427,3.816,0.5423,-2.1811,4.448,0.1029,False,0,0
17,181.2,796.9,214.89776,52.902891,1.479,0.4285,-1.3317,2.196,0.1184,True,0,0
18,680.71,109.51,214.901923,52.897163,3.208,0.569,-2.17,4.025,0.1559,False,0,0
